iter	Passed	Remaining
0	57	57823
1	85	42559
2	113	37572
3	141	35154
4	170	33974
5	198	32913
6	227	32335
7	256	31812
8	284	31381
9	313	31033
10	341	30670
11	368	30367
12	398	30236
13	433	30550
14	465	30572
15	497	30568
16	525	30360
17	552	30159
18	580	29958
19	610	29891
20	638	29758
21	665	29604
22	693	29446
23	722	29366
24	748	29196
25	776	29098
26	805	29040
27	832	28887
28	859	28782
29	886	28651
30	915	28615
31	944	28575
32	972	28490
33	1003	28524
34	1034	28526
35	1091	29235
36	1163	30292
37	1204	30497
38	1230	30331
39	1256	30152
40	1281	29977
41	1309	29865
42	1334	29694
43	1361	29571
44	1389	29498
45	1418	29408
46	1450	29418
47	1483	29428
48	1518	29480
49	1551	29476
50	1586	29518
51	1627	29662
52	1657	29609
53	1687	29568
54	1716	29485
55	1748	29481
56	1773	29335
57	1801	29258
58	1830	29187
59	1862	29177
60	1890	29102
61	1918	29018
62	1946	28952
63	1974	28871
64	2004	28835
65	2030	28739
66	2056	28634
67	2083	28553
68	2109	28460
69	2136	28381
70	2162	28296
71	2188	28206
72	2213	28113
73	2238	28011
74	2265	27936
75	2293	27879
76	2320	27818
77	2349	27771
78	2375	27699
79	2403	27634
80	2429	27560
81	2456	27498
82	2484	27449
83	2510	27381
84	2535	27290
85	2560	27210
86	2592	27208
87	2627	27225
88	2658	27212
89	2685	27153
90	2712	27099
91	2738	27027
92	2763	26954
93	2788	26881
94	2816	26831
95	2844	26781
96	2875	26766
97	2900	26700
98	2927	26646
99	2953	26585
100	2982	26551
101	3037	26745
102	3076	26793
103	3115	26842
104	3150	26853
105	3181	26835
106	3211	26802
107	3242	26779
108	3272	26753
109	3303	26725
110	3329	26667
111	3359	26637
112	3388	26596
113	3413	26529
114	3437	26456
115	3461	26381
116	3489	26332
117	3516	26284
118	3544	26242
119	3572	26197
120	3603	26176
121	3630	26130
122	3658	26084
123	3685	26035
124	3726	26086
125	3752	26031
126	3780	25984
127	3803	25911
128	3827	25840
129	3852	25784
130	3878	25726
131	3903	25671
132	3928	25607
133	3955	25561
134	3981	25509
135	4006	25453
136	4029	25385
137	4053	25321
138	4078	25264
139	4105	25219
140	4130	25163
141	4156	25113
142	4181	25056
143	4206	25006
144	4231	24949
145	4257	24901
146	4283	24857
147	4310	24816
148	4337	24775
149	4363	24723
150	4388	24674
151	4417	24642
152	4447	24618
153	4474	24578
154	4504	24555
155	4531	24514
156	4557	24472
157	4584	24429
158	4610	24387
159	4636	24341
160	4662	24299
161	4689	24256
162	4716	24217
163	4742	24177
164	4770	24141
165	4803	24134
166	4831	24097
167	4863	24086
168	4889	24043
169	4917	24009
170	4945	23977
171	4971	23934
172	4998	23892
173	5024	23851
174	5049	23804
175	5074	23758
176	5108	23754
177	5133	23707
178	5158	23659
179	5183	23612
180	5210	23578
181	5237	23540
182	5262	23494
183	5289	23456
184	5318	23430
185	5345	23392
186	5371	23355
187	5398	23318
188	5426	23284
189	5449	23233
190	5475	23192
191	5500	23147
192	5527	23111
193	5551	23065
194	5575	23017
195	5605	22994
196	5630	22951
197	5653	22899
198	5677	22853
199	5702	22808
200	5727	22768
201	5754	22734
202	5781	22697
203	5807	22659
204	5835	22629
205	5861	22593
206	5889	22563
207	5917	22530
208	5943	22495
209	5969	22455
210	5995	22418
211	6020	22376
212	6047	22346
213	6074	22309
214	6102	22282
215	6129	22246
216	6158	22221
217	6184	22185
218	6210	22149
219	6238	22119
220	6268	22096
221	6294	22059
222	6323	22033
223	6348	21993
224	6375	21961
225	6401	21922
226	6427	21886
227	6454	21856
228	6482	21823
229	6509	21791
230	6533	21749
231	6562	21725
232	6590	21693
233	6617	21661
234	6643	21628
235	6671	21596
236	6697	21562
237	6724	21529
238	6750	21495
239	6775	21456
240	6802	21422
241	6831	21397
242	6858	21366
243	6883	21328
244	6912	21301
245	6938	21267
246	6963	21228
247	6993	21206
248	7027	21195
249	7059	21178
250	7089	21155
251	7114	21116
252	7140	21082
253	7164	21042
254	7190	21007
255	7218	20979
256	7245	20946
257	7271	20911
258	7299	20885
259	7325	20850
260	7354	20822
261	7379	20785
262	7404	20749
263	7431	20717
264	7459	20688
265	7484	20653
266	7510	20618
267	7535	20581
268	7561	20549
269	7587	20514
270	7616	20487
271	7641	20451
272	7667	20417
273	7691	20380
274	7716	20343
275	7739	20303
276	7766	20271
277	7791	20236
278	7819	20206
279	7845	20174
280	7872	20144
281	7898	20111
282	7924	20078
283	7951	20045
284	7980	20020
285	8008	19992
286	8033	19957
287	8058	19921
288	8083	19886
289	8110	19855
290	8135	19821
291	8159	19784
292	8187	19755
293	8213	19723
294	8238	19689
295	8268	19665
296	8295	19636
297	8322	19606
298	8347	19571
299	8374	19540
300	8401	19510
301	8428	19480
302	8454	19447
303	8480	19416
304	8509	19391
305	8536	19359
306	8563	19330
307	8590	19300
308	8618	19272
309	8642	19237
310	8670	19208
311	8697	19178
312	8723	19146
313	8747	19111
314	8775	19083
315	8801	19051
316	8829	19022
317	8855	18991
318	8881	18960
319	8906	18927
320	8932	18895
321	8958	18861
322	8988	18839
323	9013	18806
324	9041	18779
325	9070	18754
326	9100	18729
327	9125	18696
328	9150	18662
329	9177	18633
330	9201	18598
331	9231	18574
332	9259	18547
333	9290	18525
334	9318	18497
335	9348	18473
336	9384	18462
337	9427	18464
338	9465	18455
339	9497	18436
340	9526	18410
341	9557	18388
342	9589	18368
343	9624	18354
344	9654	18330
345	9689	18315
346	9730	18311
347	9765	18296
348	9795	18271
349	9822	18241
350	9850	18213
351	9877	18182
352	9901	18148
353	9928	18118
354	9954	18085
355	9981	18055
356	10006	18022
357	10034	17995
358	10061	17965
359	10088	17934
360	10113	17902
361	10140	17871
362	10169	17844
363	10199	17821
364	10226	17792
365	10253	17761
366	10277	17727
367	10304	17697
368	10333	17670
369	10363	17646
370	10390	17615
371	10418	17588
372	10443	17554
373	10470	17524
374	10493	17488
375	10518	17456
376	10549	17432
377	10575	17402
378	10601	17370
379	10630	17344
380	10655	17311
381	10681	17280
382	10710	17254
383	10738	17226
384	10771	17206
385	10803	17185
386	10840	17170
387	10873	17151
388	10902	17124
389	10938	17109
390	10975	17094
391	11007	17072
392	11035	17044
393	11064	17017
394	11102	17004
395	11128	16974
396	11154	16941
397	11181	16912
398	11207	16881
399	11230	16845
400	11255	16813
401	11280	16780
402	11304	16746
403	11332	16718
404	11358	16687
405	11386	16658
406	11411	16627
407	11440	16599
408	11471	16575
409	11505	16556
410	11536	16532
411	11560	16498
412	11586	16467
413	11612	16437
414	11637	16404
415	11665	16377
416	11692	16347
417	11717	16315
418	11745	16286
419	11772	16257
420	11802	16232
421	11830	16203
422	11857	16175
423	11884	16144
424	11909	16113
425	11936	16083
426	11960	16050
427	11986	16019
428	12012	15988
429	12038	15957
430	12063	15926
431	12090	15896
432	12114	15863
433	12138	15830
434	12166	15802
435	12191	15771
436	12218	15741
437	12243	15709
438	12267	15676
439	12300	15655
440	12329	15627
441	12354	15597
442	12381	15567
443	12408	15538
444	12436	15510
445	12461	15479
446	12489	15451
447	12521	15428
448	12558	15410
449	12597	15396
450	12627	15371
451	12656	15345
452	12688	15321
453	12718	15296
454	12757	15281
455	12790	15258
456	12821	15233
457	12845	15201
458	12873	15173
459	12898	15142
460	12926	15113
461	12952	15083
462	12980	15054
463	13006	15024
464	13032	14994
465	13060	14966
466	13087	14936
467	13114	14907
468	13141	14878
469	13173	14855
470	13198	14824
471	13224	14793
472	13253	14766
473	13278	14735
474	13301	14701
475	13327	14671
476	13357	14645
477	13385	14617
478	13411	14586
479	13437	14557
480	13464	14528
481	13490	14498
482	13518	14470
483	13544	14440
484	13573	14412
485	13601	14384
486	13626	14353
487	13651	14322
488	13682	14298
489	13715	14275
490	13745	14248
491	13775	14223
492	13806	14198
